Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Credit_Score
28,34847,2,4,0.06,1,3,4,2,Good,605,0.33,326,0
34,143162,1,5,0.08,3,8,6,3,Good,1303,0.38,220,0
34,131313,0,1,0.08,2,0,2,4,Good,352,0.29,374,0
24,114838,2,5,0.07,3,11,11,8,Good,1377,0.28,263,0
36,54392,6,4,0.14,3,10,8,7,Standard,179,0.33,329,0
39,8701,6,5,0.32,7,23,9,9,Standard,2602,0.29,114,1
37,25546,8,7,0.14,5,15,13,5,Standard,758,0.39,225,0
31,31993,6,6,0.07,2,8,16,1,Standard,818,0.36,209,0
46,32284,6,7,0.17,6,13,12,10,Standard,1283,0.28,84,0
26,97791,6,6,0.12,0,18,8,1,Standard,107,0.34,333,0
32,19300,6,7,0.17,5,53,19,8,Bad,2430,0.24,225,0
42,10183,7,5,0.17,5,48,21,6,Bad,1672,0.37,128,1
32,12600,5,5,0.1,3,25,19,11,Standard,569,0.32,154,1
38,39641,10,8,0.25,6,61,13,8,Bad,2258,0.35,111,1
44,18627,7,7,0.19,6,31,18,7,Bad,1793,0.39,232,1
22,12986,4,3,0.1,2,28,17,7,Standard,1489,0.32,111,0
37,42171,2,7,0.1,3,4,10,4,Good,556,0.36,264,0
36,71681,3,6,0.15,1,8,8,0,Standard,1293,0.38,314,0
37,15566,8,5,0.32,4,17,23,9,Standard,1693,0.37,101,0
22,148699,3,4,0.05,3,16,8,1,Good,949,0.41,374,0
30,87215,2,6,0.08,2,2,8,0,Good,680,0.36,255,0
44,14129,8,5,0.21,8,62,18,6,Bad,4071,0.36,158,1
23,36822,8,7,0.06,4,15,19,5,Standard,125,0.39,303,0
25,80108,5,3,0.17,0,25,19,4,Standard,997,0.28,218,0
22,19981,10,8,0.2,7,54,21,12,Bad,4834,0.31,129,1
45,118248,5,1,0.04,0,18,13,8,Good,191,0.29,212,0
26,60162,5,7,0.05,7,18,10,9,Standard,1037,0.32,165,0
39,30346,5,4,0.14,7,29,6,5,Standard,523,0.26,107,0
47,18681,2,3,0.09,2,6,6,3,Good,327,0.4,376,0
35,72330,0,3,0.11,1,1,6,1,Good,596,0.25,399,0
34,17001,6,5,0.05,1,5,20,2,Standard,1093,0.35,213,0
21,44719,6,6,0.29,7,46,19,14,Bad,3818,0.29,162,1
48,17787,8,4,0.16,2,5,15,0,Standard,730,0.3,364,0
42,103353,3,3,0.06,1,4,12,2,Good,1374,0.42,314,0
37,134978,8,5,0.15,2,9,15,5,Standard,668,0.39,321,0
28,39800,7,5,0.12,3,17,20,4,Standard,660,0.29,220,0
22,66105,6,8,0.31,5,26,22,12,Bad,1549,0.25,141,1
28,15398,1,7,0.05,4,1,1,8,Good,343,0.28,346,0
56,139354,3,3,0.18,0,15,16,4,Standard,519,0.39,246,0
26,27865,4,3,0.06,1,22,18,5,Standard,635,0.26,371,1
36,23404,6,5,0.07,0,12,17,5,Standard,35,0.32,350,0
25,43758,5,6,0.12,2,11,2,2,Good,1194,0.36,404,0
38,108147,3,6,0.06,4,14,20,2,Standard,1113,0.36,352,0
28,17759,6,8,0.19,5,26,20,10,Bad,3598,0.28,64,1
27,134321,3,5,0.12,4,29,20,3,Standard,1428,0.36,399,0
55,19403,1,7,0.03,3,13,10,2,Good,339,0.38,203,1
34,19777,5,3,0.03,3,19,3,1,Good,186,0.38,266,1
54,41345,0,5,0.1,0,7,0,7,Good,646,0.24,344,1
39,30536,6,6,0.07,2,19,8,4,Standard,687,0.4,191,0
43,20005,8,3,0.06,4,22,20,13,Standard,1859,0.25,156,1
33,19795,7,10,0.34,8,14,21,15,Bad,3135,0.3,34,1
34,60938,10,8,0.31,8,26,21,9,Bad,3947,0.37,65,1
43,57610,8,10,0.25,9,41,23,7,Bad,4428,0.38,24,1
37,18717,8,5,0.15,5,4,18,10,Standard,2103,0.29,191,0
48,94554,2,6,0.02,0,9,0,3,Good,1487,0.26,272,0
27,63536,4,5,0.12,2,29,16,9,Standard,89,0.37,376,0
40,9983,7,11,0.15,5,22,16,11,Standard,1823,0.26,117,0
30,132872,3,3,0.1,2,14,5,4,Good,89,0.3,339,0
42,140014,3,7,0.18,4,27,9,3,Standard,1151,0.27,212,0
48,37071,1,6,0.06,4,14,8,3,Good,869,0.3,227,0
38,40391,10,7,0.18,3,33,23,12,Bad,1950,0.39,102,1
27,15013,7,4,0.14,6,23,9,5,Standard,1403,0.35,148,0
44,126006,4,3,0.2,3,13,13,0,Standard,385,0.4,318,0
49,102885,3,5,0.16,1,14,14,4,Standard,605,0.31,353,0
26,77418,7,9,0.2,7,38,23,9,Bad,3962,0.23,143,1
46,24199,3,7,0.06,1,29,14,4,Good,784,0.38,260,0
48,28587,4,1,0.07,0,0,2,1,Good,1496,0.28,297,0
32,16578,3,5,0.15,2,10,13,7,Standard,1054,0.33,280,0
23,16852,4,6,0.09,0,27,13,8,Standard,775,0.3,354,0
27,91690,2,6,0.02,2,6,8,4,Good,1295,0.26,378,0
37,30502,8,7,0.24,7,25,20,8,Standard,1672,0.38,180,1
21,30272,3,3,0.15,1,30,8,9,Standard,180,0.27,197,0
50,28681,3,5,0.02,0,2,5,4,Good,467,0.32,234,0
33,115643,3,7,0.02,3,18,1,1,Good,951,0.39,222,1
34,9133,6,7,0.34,6,61,16,11,Bad,3035,0.28,114,0
24,66502,0,6,0.01,2,29,10,2,Good,276,0.36,231,1
34,9444,7,8,0.28,6,26,11,7,Standard,1701,0.26,71,1
47,70112,1,7,0.03,2,5,3,5,Good,877,0.34,305,1
37,10025,10,10,0.21,7,23,14,12,Standard,1409,0.34,190,1
39,64036,8,4,0.15,4,31,15,9,Standard,1635,0.35,99,0
22,86522,8,5,0.13,1,14,8,13,Standard,455,0.33,339,0
50,15606,3,4,0.06,4,7,3,2,Good,257,0.39,402,1
25,28230,8,6,0.32,7,49,16,14,Bad,2989,0.39,89,0
41,112362,4,4,0.05,4,25,20,2,Standard,1358,0.41,285,0
49,32314,2,5,0.05,3,6,11,2,Good,1339,0.4,267,0
46,99127,8,3,0.1,4,17,19,7,Standard,1126,0.24,320,0
43,135895,8,4,0.06,0,12,17,3,Good,429,0.34,227,0
22,29608,7,8,0.31,7,42,16,10,Bad,1286,0.34,185,1
30,29999,10,9,0.15,5,42,21,13,Bad,2593,0.29,200,1
31,15746,4,3,0.18,5,22,12,7,Standard,2098,0.39,143,1
32,30922,1,5,0.12,2,19,1,2,Good,957,0.41,262,1
37,25530,3,4,0.19,0,16,13,8,Standard,761,0.36,384,0
52,110786,5,7,0.05,3,12,15,2,Standard,226,0.25,299,0
34,120366,4,7,0.02,4,12,8,6,Good,1396,0.4,258,1
52,13074,8,7,0.08,1,9,13,6,Good,1048,0.26,366,0
38,14224,8,6,0.13,1,24,10,5,Standard,1343,0.37,399,0
46,142170,3,4,0.08,2,3,1,3,Good,282,0.42,298,0
46,19951,1,1,0.12,2,15,6,5,Good,1463,0.24,399,0
40,122978,0,1,0.09,3,14,3,3,Good,1197,0.44,341,0
32,7821,8,10,0.29,6,62,14,7,Bad,2924,0.3,124,1
26,34128,6,8,0.31,6,18,19,13,Bad,2626,0.35,72,1
38,10034,4,4,0.28,6,24,9,7,Standard,1669,0.34,118,0
41,20540,0,4,0.08,1,3,3,2,Good,1118,0.32,194,0
52,38175,1,2,0.07,3,1,8,2,Good,315,0.28,340,0
22,116594,5,6,0.1,2,10,3,0,Good,1124,0.24,357,0
39,39399,6,6,0.17,2,27,18,15,Standard,2206,0.36,144,1
25,142113,6,4,0.17,3,18,12,9,Standard,1037,0.31,274,0
48,65299,4,5,0.08,2,10,0,2,Good,1177,0.33,317,1
52,33200,6,4,0.2,2,25,18,7,Standard,1290,0.33,216,0
41,82289,8,8,0.22,5,29,16,12,Bad,4736,0.24,114,1
37,65778,5,3,0.11,4,26,18,6,Standard,705,0.31,202,0
44,12016,6,3,0.14,3,30,10,0,Standard,583,0.35,368,0
50,19180,8,4,0.18,4,5,17,6,Standard,1127,0.29,302,0
31,60552,3,7,0.12,3,35,11,4,Good,463,0.35,232,1
40,9141,9,6,0.33,5,59,19,13,Bad,2506,0.25,200,1
40,98197,5,6,0.06,3,30,8,7,Standard,627,0.4,300,0
32,63197,6,3,0.13,3,16,12,12,Standard,1435,0.4,290,0
36,10007,4,4,0.08,7,7,6,7,Standard,2195,0.35,242,0
39,72241,8,4,0.04,1,27,12,7,Good,843,0.25,353,0
25,7612,8,5,0.16,6,60,25,13,Bad,1514,0.39,108,0
46,16953,4,5,0.04,2,1,4,5,Good,554,0.25,335,1
49,16866,4,4,0.19,1,27,12,6,Standard,1385,0.35,347,0
33,18969,1,7,0.08,0,13,9,4,Good,54,0.25,284,1
55,36154,5,3,0.03,2,9,8,2,Good,651,0.38,238,0
36,17655,8,10,0.34,6,60,25,10,Bad,2725,0.3,108,1
30,7103,6,5,0.28,6,55,11,7,Standard,2114,0.38,158,1
43,83845,5,7,0.04,2,8,8,4,Good,49,0.39,306,0
52,32663,1,5,0.03,4,8,4,2,Good,1067,0.36,203,0
45,132537,3,2,0.12,1,12,1,1,Good,382,0.37,360,0
33,15713,7,8,0.23,2,46,12,7,Standard,2271,0.32,132,0
31,62050,8,7,0.22,7,18,23,13,Bad,4293,0.26,72,1
37,18744,8,7,0.29,9,21,23,12,Bad,4432,0.3,74,0
22,38539,4,2,0.03,1,8,2,0,Good,526,0.35,362,0
47,48411,8,3,0.03,4,17,11,3,Good,821,0.31,226,0
29,36490,4,5,0.08,4,19,19,12,Standard,581,0.36,148,0
22,177150,2,6,0.06,4,2,11,4,Good,429,0.39,260,0
23,151722,5,5,0.02,2,11,0,1,Good,218,0.21,264,0
27,62316,8,4,0.07,2,12,9,1,Standard,417,0.39,322,0
50,96275,6,6,0.19,1,7,18,5,Standard,999,0.28,321,0
36,57219,8,6,0.33,6,18,24,13,Bad,4935,0.33,44,0
21,53916,8,7,0.28,8,57,21,6,Bad,2560,0.28,60,1
42,69692,9,5,0.32,7,15,21,9,Bad,2128,0.25,160,1
34,15735,3,6,0.07,2,19,9,7,Standard,1574,0.26,113,0
27,55000,3,6,0.12,0,17,14,0,Standard,815,0.28,198,0
34,50811,6,4,0.2,3,18,14,5,Standard,1274,0.36,76,0
28,59448,9,7,0.23,6,35,21,6,Bad,3825,0.39,167,0
47,18549,4,4,0.06,0,13,0,0,Good,1247,0.37,246,0
50,134810,5,7,0.06,2,2,1,9,Good,744,0.31,392,0
28,162550,0,5,0.11,1,13,8,4,Good,789,0.34,201,0
31,14884,8,5,0.01,4,25,15,4,Good,1122,0.36,344,1
39,31732,4,4,0.01,4,30,12,4,Good,1404,0.25,366,1
33,9349,6,6,0.19,9,39,15,9,Bad,4833,0.29,46,1
44,135115,4,6,0.18,2,17,9,2,Standard,269,0.27,228,0
44,56760,6,5,0.19,9,40,24,12,Bad,4701,0.36,82,1
33,108223,5,6,0.07,2,9,12,3,Standard,977,0.34,328,0
43,68665,7,6,0.13,7,11,20,11,Standard,420,0.36,152,0
43,15305,0,7,0.02,2,14,2,0,Good,642,0.28,189,0
50,99089,5,1,0.09,1,4,1,2,Good,338,0.27,399,0
23,9307,4,3,0.15,3,23,14,5,Standard,486,0.31,142,0
40,38685,1,5,0.03,2,6,12,5,Good,1340,0.24,360,0
38,7506,10,7,0.22,5,53,21,11,Bad,4183,0.22,136,0
43,17448,9,5,0.2,9,43,17,14,Bad,2575,0.4,190,0
41,42241,0,5,0.11,0,5,9,9,Good,190,0.28,310,0
42,132414,3,3,0.19,0,13,16,4,Standard,53,0.37,312,0
54,92794,4,7,0.07,0,27,16,3,Standard,1269,0.29,341,0
21,34927,6,4,0.04,0,13,21,6,Good,1158,0.39,320,0
37,94052,4,4,0.13,1,25,16,8,Standard,76,0.33,258,0
23,16355,9,8,0.23,3,54,16,13,Standard,1696,0.29,106,1
37,18472,10,6,0.26,4,51,27,10,Bad,2031,0.41,240,1
54,42731,0,4,0.01,2,9,0,1,Good,511,0.38,296,0
45,11968,3,4,0.16,2,20,18,0,Standard,685,0.37,304,0
32,33386,7,5,0.11,3,26,10,6,Standard,1343,0.4,172,0
36,174304,1,3,0.12,0,5,7,4,Good,461,0.35,366,0
45,15932,6,6,0.11,1,27,12,1,Standard,1124,0.28,335,0
44,55583,6,5,0.11,2,23,17,6,Standard,2019,0.31,209,0
42,8365,6,8,0.19,5,36,16,11,Bad,2758,0.41,59,0
42,19167,6,6,0.15,4,31,16,6,Standard,1297,0.35,84,1
44,14976,7,6,0.16,0,29,22,3,Standard,69,0.31,336,0
33,62874,3,4,0.15,4,21,19,7,Standard,527,0.35,245,0
37,17164,10,6,0.19,9,34,16,7,Bad,4813,0.37,132,0
32,37302,3,2,0.12,4,13,12,5,Good,907,0.3,267,0
32,7526,8,8,0.27,9,40,22,10,Bad,2526,0.25,22,0
21,19653,3,3,0.1,4,6,14,3,Good,919,0.32,215,0
30,174179,1,7,0.08,1,3,5,6,Good,1355,0.42,352,0
51,38107,8,7,0.12,3,30,16,2,Standard,1472,0.25,274,0
29,20308,6,5,0.28,6,33,11,15,Standard,1967,0.35,118,1
37,13603,6,5,0.16,6,20,17,5,Standard,45,0.38,240,0
34,12943,5,5,0.09,6,20,14,6,Standard,265,0.39,88,0
40,177243,4,6,0.03,3,9,12,3,Good,488,0.28,347,0
41,35518,8,6,0.09,3,12,16,9,Standard,1270,0.4,137,0
43,8875,8,9,0.27,2,26,14,15,Standard,1353,0.3,212,1
36,16708,6,9,0.22,8,55,18,12,Bad,2674,0.28,180,1
29,141753,5,5,0.13,4,10,14,6,Standard,477,0.24,214,0
23,63206,9,8,0.27,8,41,15,13,Bad,4523,0.4,164,0
28,63635,3,4,0.02,2,12,10,7,Good,122,0.35,300,0
31,126849,2,3,0.03,0,11,6,8,Good,518,0.39,346,0
26,13065,5,6,0.13,2,14,11,5,Standard,1203,0.38,268,0
