Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Credit_Score
28,34847,2,4,0.06,1,3,4,2,Good,605,0.33,326,Good
34,143162,1,5,0.08,3,8,6,3,Good,1303,0.38,220,Standard
34,131313,0,1,0.08,2,0,2,4,Good,352,0.29,374,Good
24,114838,2,5,0.07,3,11,11,8,Good,1377,0.28,263,Standard
36,54392,6,4,0.14,3,10,8,7,Standard,179,0.33,329,Standard
39,8701,6,5,0.32,7,23,9,9,Standard,2602,0.29,114,Poor
37,25546,8,7,0.14,5,15,13,5,Standard,758,0.39,225,Standard
31,31993,6,6,0.07,2,8,16,1,Standard,818,0.36,209,Standard
46,32284,6,7,0.17,6,13,12,10,Standard,1283,0.28,84,Standard
26,97791,6,6,0.12,0,18,8,1,Standard,107,0.34,333,Good
32,19300,6,7,0.17,5,53,19,8,Bad,2430,0.24,225,Standard
42,10183,7,5,0.17,5,48,21,6,Bad,1672,0.37,128,Poor
32,12600,5,5,0.1,3,25,19,11,Standard,569,0.32,154,Poor
38,39641,10,8,0.25,6,61,13,8,Bad,2258,0.35,111,Poor
44,18627,7,7,0.19,6,31,18,7,Bad,1793,0.39,232,Poor
22,12986,4,3,0.1,2,28,17,7,Standard,1489,0.32,111,Standard
37,42171,2,7,0.1,3,4,10,4,Good,556,0.36,264,Standard
36,71681,3,6,0.15,1,8,8,0,Standard,1293,0.38,314,Good
37,15566,8,5,0.32,4,17,23,9,Standard,1693,0.37,101,Standard
22,148699,3,4,0.05,3,16,8,1,Good,949,0.41,374,Good
30,87215,2,6,0.08,2,2,8,0,Good,680,0.36,255,Good
44,14129,8,5,0.21,8,62,18,6,Bad,4071,0.36,158,Poor
23,36822,8,7,0.06,4,15,19,5,Standard,125,0.39,303,Good
25,80108,5,3,0.17,0,25,19,4,Standard,997,0.28,218,Standard
22,19981,10,8,0.2,7,54,21,12,Bad,4834,0.31,129,Poor
45,118248,5,1,0.04,0,18,13,8,Good,191,0.29,212,Good
26,60162,5,7,0.05,7,18,10,9,Standard,1037,0.32,165,Standard
39,30346,5,4,0.14,7,29,6,5,Standard,523,0.26,107,Standard
47,18681,2,3,0.09,2,6,6,3,Good,327,0.4,376,Good
35,72330,0,3,0.11,1,1,6,1,Good,596,0.25,399,Good
34,17001,6,5,0.05,1,5,20,2,Standard,1093,0.35,213,Standard
21,44719,6,6,0.29,7,46,19,14,Bad,3818,0.29,162,Poor
48,17787,8,4,0.16,2,5,15,0,Standard,730,0.3,364,Standard
42,103353,3,3,0.06,1,4,12,2,Good,1374,0.42,314,Good
37,134978,8,5,0.15,2,9,15,5,Standard,668,0.39,321,Good
28,39800,7,5,0.12,3,17,20,4,Standard,660,0.29,220,Standard
22,66105,6,8,0.31,5,26,22,12,Bad,1549,0.25,141,Poor
28,15398,1,7,0.05,4,1,1,8,Good,343,0.28,346,Standard
56,139354,3,3,0.18,0,15,16,4,Standard,519,0.39,246,Standard
26,27865,4,3,0.06,1,22,18,5,Standard,635,0.26,371,Poor
36,23404,6,5,0.07,0,12,17,5,Standard,35,0.32,350,Standard
25,43758,5,6,0.12,2,11,2,2,Good,1194,0.36,404,Good
38,108147,3,6,0.06,4,14,20,2,Standard,1113,0.36,352,Good
28,17759,6,8,0.19,5,26,20,10,Bad,3598,0.28,64,Poor
27,134321,3,5,0.12,4,29,20,3,Standard,1428,0.36,399,Standard
55,19403,1,7,0.03,3,13,10,2,Good,339,0.38,203,Poor
34,19777,5,3,0.03,3,19,3,1,Good,186,0.38,266,Poor
54,41345,0,5,0.1,0,7,0,7,Good,646,0.24,344,Poor
39,30536,6,6,0.07,2,19,8,4,Standard,687,0.4,191,Standard
43,20005,8,3,0.06,4,22,20,13,Standard,1859,0.25,156,Poor
33,19795,7,10,0.34,8,14,21,15,Bad,3135,0.3,34,Poor
34,60938,10,8,0.31,8,26,21,9,Bad,3947,0.37,65,Poor
43,57610,8,10,0.25,9,41,23,7,Bad,4428,0.38,24,Poor
37,18717,8,5,0.15,5,4,18,10,Standard,2103,0.29,191,Standard
48,94554,2,6,0.02,0,9,0,3,Good,1487,0.26,272,Good
27,63536,4,5,0.12,2,29,16,9,Standard,89,0.37,376,Standard
