Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Credit_Score
23,Scientist,19114,3,4,0.03,4,5,4,4,Good,809,0.31,268,2
23,Scientist,19114,3,4,0.03,4,8,4,4,Good,809,0.27,270,2
23,Scientist,19114,3,4,0.03,4,3,8,4,Good,809,0.23,271,2
28,Teacher,34847,2,4,0.06,1,7,1,2,Good,605,0.39,320,2
28,Teacher,34847,2,4,0.06,1,3,3,2,Good,605,0.39,322,2
28,Teacher,34847,2,4,0.06,1,3,1,2,Good,605,0.35,323,2
28,Teacher,34847,2,4,0.06,1,3,0,2,Good,605,0.33,324,2
28,Teacher,34847,2,4,0.06,1,3,4,2,Good,605,0.31,325,2
28,Teacher,34847,2,4,0.06,1,3,4,2,Good,605,0.33,326,2
34,Engineer,143162,1,5,0.08,3,13,6,3,Good,1303,0.42,214,2
34,Engineer,143162,1,5,0.08,3,8,6,3,Good,1303,0.38,219,1
34,Engineer,143162,1,5,0.08,3,8,6,3,Good,1303,0.38,220,1
54,Entrepreneur,30689,2,5,0.04,1,0,6,4,Good,632,0.27,207,1
54,Entrepreneur,30689,2,5,0.04,1,5,3,4,Good,632,0.35,208,1
55,Entrepreneur,30689,2,5,0.04,1,3,9,4,Good,632,0.32,209,1
55,Entrepreneur,30689,2,5,0.04,1,7,6,4,Good,632,0.38,210,1
55,Entrepreneur,30689,2,5,0.04,1,5,6,4,Good,632,0.41,211,1
21,Developer,35547,7,5,0.05,0,5,15,4,Standard,943,0.29,373,1
21,Developer,35547,7,5,0.05,0,10,15,4,Standard,943,0.26,374,1
31,Lawyer,73928,4,5,0.08,0,8,7,2,Good,548,0.3,386,2
33,Lawyer,131313,0,1,0.08,2,0,3,2,Good,352,0.32,367,2
34,Lawyer,131313,0,1,0.08,2,0,2,4,Good,352,0.32,368,2
34,Lawyer,131313,0,1,0.08,2,0,3,4,Good,352,0.32,369,2
34,Lawyer,131313,0,1,0.08,2,0,2,4,Good,352,0.43,370,2
34,Lawyer,131313,0,1,0.08,2,0,4,4,Good,352,0.41,371,2
34,Lawyer,131313,0,1,0.08,2,0,2,4,Good,352,0.29,374,2
30,Media_Manager,34081,8,7,0.15,3,31,14,5,Standard,1704,0.35,177,0
30,Media_Manager,34081,8,7,0.15,3,30,11,5,Standard,1704,0.38,181,1
23,Doctor,114838,2,5,0.07,3,14,8,3,Good,1377,0.28,257,2
23,Doctor,114838,2,5,0.07,3,11,11,3,Good,1377,0.35,258,2
23,Doctor,114838,2,5,0.07,3,11,14,8,Good,1377,0.3,259,2
23,Doctor,114838,2,5,0.07,3,11,11,8,Good,1377,0.3,260,1
24,Doctor,114838,2,5,0.07,3,11,11,8,Good,1377,0.28,263,1
44,Journalist,31370,1,6,0.12,2,2,0,2,Good,421,0.28,318,2
44,Journalist,31370,1,6,0.12,2,0,0,5,Good,421,0.31,319,2
40,Teacher,33751,5,5,0.2,3,16,20,4,Standard,1328,0.37,230,1
40,Teacher,33751,5,5,0.2,3,16,20,4,Standard,1328,0.31,231,1
40,Teacher,33751,5,5,0.2,3,17,22,8,Standard,1328,0.23,233,1
